colonne,sum,mean,min,max,non_null
Unnamed: 3,2925287812.520617,29849875.637965478,0.0,1458442551.1936257,98.0
Unnamed: 4,3554501072.0069804,37026052.833406046,0.0,1772669715.675476,96.0
Unnamed: 5,3594249744.057463,39067932.0006246,0.0,1791529239.5495064,92.0
Unnamed: 6,1922548228.760782,20897263.356095456,0.0,958967804.010081,92.0
Unnamed: 7,2201918201.2809453,23933893.49218419,0.0,1097626265.3139668,92.0
Unnamed: 8,3429545874.9677444,37277672.55399722,0.0,1711078881.6660652,92.0
Unnamed: 9,2043388093.0007946,21971914.978503168,0.0,1014264465.2211548,93.0
Unnamed: 10,2228058237.4316297,24218024.319909018,0.0,1110192504.3903646,92.0
Unnamed: 11,2649028977.5410347,28793793.23414168,0.0,1320224271.1338956,92.0
Unnamed: 12,1562568607.428566,16623070.291793255,0.0,779895642.2548252,94.0
Unnamed: 13,886471300.0702466,9531949.463120932,0.0,442484902.8924804,93.0
Unnamed: 14,2862344504.9237895,31112440.270910755,0.0,1428541053.228658,92.0
Unnamed: 15,29851970524.596996,307752273.4494536,0.0,14885917296.5301,97.0
Unnamed: 18,639494.2186802386,6661.398111252485,0.0,171249.29885871708,96.0
Unnamed: 19,846202.4362721001,8814.60871116771,0.0,339184.0,96.0
Unnamed: 20,666989.0287387581,6947.802382695397,0.0,251145.4814814815,96.0
Unnamed: 21,130936.70649210844,1363.9240259594628,0.0,65116.40915981977,96.0
Unnamed: 22,135439.12914107408,1410.8242618861884,0.0,67429.72316530083,96.0
Unnamed: 23,139379.70500339405,1451.871927118688,0.0,69268.19892078749,96.0
Unnamed: 24,608864.8794146115,6342.342493902203,0.0,262449.0091754694,96.0
Unnamed: 25,402208.0044677553,4189.666713205785,0.0,133726.0365718712,96.0
Unnamed: 26,677466.6252561285,7056.9440130846715,0.0,260947.35087780736,96.0
Unnamed: 27,538673.9369617698,5611.186843351769,0.0,105821.60000000002,96.0
Unnamed: 28,244246.19492346782,2544.2311971194563,0.0,96552.82002525251,96.0
Unnamed: 29,548896.8251681827,5717.67526216857,0.0,216864.34507381983,96.0
Unnamed: 30,5577549.443205403,58099.47336672295,0.0,1996330.5044967227,96.0
Unnamed: 33,31058.623432701865,323.52732742397774,0.0,11771.39856998234,96.0
Unnamed: 34,30740.770126778465,320.2163554872757,0.0,10086.842445170809,96.0
Unnamed: 35,31590.918315703933,329.0720657885826,0.0,11863.835234933767,96.0
Unnamed: 36,41593.19650189139,433.26246356136863,0.0,15304.974666242848,96.0
Unnamed: 37,59121.76321412506,615.8517001471361,0.0,16091.623073028515,96.0
Unnamed: 38,41105.52996283167,428.18260377949656,0.0,20377.10842059724,96.0
