colonne,sum,mean,min,max,non_null
Unnamed: 1,423719.83302214165,4413.748260647309,0.0,101559.2483543928,96.0
Unnamed: 2,568891.6806100477,5925.955006354663,0.0,171379.04633910253,96.0
Unnamed: 3,448017.87438200816,4666.852858145919,0.0,96066.13799810223,96.0
Unnamed: 4,426067.73906455317,6657.308422883643,0.0,177441.9863945578,64.0
Unnamed: 5,373531.0018755859,5836.421904306029,0.0,97719.86938775513,64.0
Unnamed: 6,960992.9004898882,10010.342713436336,0.0,213233.7777777778,96.0
Unnamed: 13,4368763.5310690515,45507.953448635955,0.0,1357209.403378054,96.0
Unnamed: 16,91509.56944334116,1429.8370225522056,0.0,30565.20184358276,64.0
Unnamed: 17,93828.19113012645,1466.0654864082258,0.0,34887.74842231922,64.0
Unnamed: 18,83264.18680083126,1301.0029187629884,0.0,34298.67374110453,64.0
Unnamed: 19,121436.51492045645,1897.445545632132,0.0,38890.47992874716,64.0
Unnamed: 20,289369.6944878729,4521.401476373014,0.0,116099.19233608662,64.0
Unnamed: 21,63302.988435146486,989.1091942991638,0.0,20046.15624754728,64.0
Unnamed: 28,460040.91409925115,4894.052277651608,0.0,318568.68357999367,94.0
Unnamed: 34,228971.48760482908,3577.6794938254543,0.0,78575.8639231824,64.0
Unnamed: 35,142497.42134346307,2226.5222084916104,0.0,61344.13214285715,64.0
Unnamed: 36,372463.2556818182,5819.738370028409,0.0,121536.0,64.0
Unnamed: 43,2028511.7762725935,21579.912513538227,0.0,846620.6360660396,94.0
Unnamed: 46,2214804.8930218536,34606.32645346646,0.0,1089361.7461667005,64.0
Unnamed: 47,2805467.187448559,43835.42480388373,0.0,1314082.9392536236,64.0
Unnamed: 48,1825254.0360639403,28519.594313499067,0.0,804387.5713133004,64.0
Unnamed: 49,1980316.5723793337,20628.297628951394,0.0,909238.7501681992,96.0
Unnamed: 50,3217523.6901353844,33515.87177224359,0.0,1513053.8959076714,96.0
Unnamed: 51,2919744.88549281,30414.009223883437,0.0,1366238.204081633,96.0
Unnamed: 58,14960952.702744577,155843.257320256,0.0,6996363.106891127,96.0
Unnamed: 106,3843680.3402549266,40038.336877655485,0.0,1778171.685027368,96.0
Unnamed: 107,3871427.195818552,40327.36662310991,0.0,1721985.621205417,96.0
Unnamed: 108,2695936.05149916,28082.66720311625,0.0,1104602.2793025072,96.0
Unnamed: 109,3379727.211685669,35205.491788392384,0.0,1515888.6722896865,96.0
Unnamed: 110,4879079.604370564,50823.74587886004,0.0,2216752.784354252,96.0
Unnamed: 111,4915787.251080848,51206.11719875884,0.0,1880432.537121968,96.0
Unnamed: 112,2182351.7999432236,22732.83124940858,0.0,1089839.6034328043,96.0
Unnamed: 113,122004.79166666666,1270.8832465277776,0.0,60912.0,96.0
Unnamed: 114,0.0,0.0,0.0,0.0,96.0
Unnamed: 115,0.0,0.0,0.0,0.0,96.0
Unnamed: 116,0.0,0.0,0.0,0.0,96.0
Unnamed: 117,0.0,0.0,0.0,0.0,96.0
Unnamed: 118,25887776.45016059,261492.69141576352,0.0,11368585.182734,99.0
