colonne,sum,mean,min,max,non_null
Unnamed: 1,783298.0740810448,8075.237877124173,0.0,226636.4834133333,97.0
Unnamed: 2,1600544.911133713,16500.463001378484,0.0,691669.3333333334,97.0
Unnamed: 3,666989.0287387581,10261.36967290397,0.0,251145.4814814815,65.0
Unnamed: 16,33151.36899973126,510.0210615343271,0.0,12443.65641590172,65.0
Unnamed: 17,31807.647997897577,489.3484307368858,0.0,10402.802230639278,65.0
Unnamed: 18,31778.423531242704,488.89882355758004,0.0,11848.53683529956,65.0
Unnamed: 19,41621.85402700887,640.3362158001364,0.0,15325.305244755244,65.0
Unnamed: 20,59601.96244579713,916.9532683968789,0.0,16329.688360085162,65.0
Unnamed: 46,2018615.1699661473,31540.86203072105,0.0,858994.0789957995,64.0
Unnamed: 47,2223347.8619287,34739.81034263594,0.0,1016754.6287213748,64.0
Unnamed: 48,2911476.344350779,45491.81788048092,0.0,1378294.5728288584,64.0
Unnamed: 49,5888412.10160833,92006.43908763016,0.0,2874706.5123966946,64.0
Unnamed: 50,9080538.947634432,141883.421056788,0.0,4394808.0,64.0
Unnamed: 106,3725241.395810042,38804.597873021274,0.0,1542970.323241138,96.0
Unnamed: 107,4285400.790065379,44639.59156318103,0.0,1933485.4535639223,96.0
Unnamed: 108,4647987.060475649,48416.53187995468,0.0,2159995.1797594614,96.0
Unnamed: 109,7257639.639338015,75600.41290977098,0.0,3553174.3827183577,96.0
Unnamed: 110,10377142.213431114,108095.23138990744,0.0,5029101.53745386,96.0
Unnamed: 111,1401239.8686900642,14596.248632188168,0.0,401472.0,96.0
Unnamed: 112,6192002.967404965,64500.03091046839,0.0,3095081.610884353,96.0
Unnamed: 113,0.0,0.0,0.0,0.0,96.0
Unnamed: 114,0.0,0.0,0.0,0.0,96.0
Unnamed: 115,0.0,0.0,0.0,0.0,96.0
Unnamed: 116,0.0,0.0,0.0,0.0,96.0
Unnamed: 117,0.0,0.0,0.0,0.0,96.0
Unnamed: 118,37885091.527399026,386582.5666061125,0.0,17611089.880198188,98.0
