Aviation,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Aviation.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Aviation.2,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Aviation.3,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Aviation.4,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Libreville,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Libreville.1,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Aviation.5,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
Filet maillant de fond,,,,,,,,,,,,,,Filet maillant dérivant,,,,,,,,,,,,,,Filet mulet,,,,,,,,,,,,,,Filet sardine,,,,,,,,,,,,,,Ligne à main,,,,,,,,,,,,,,Ligne de fond,,,,,,,,,,,,,,Senne Tournante,,,,,,,,,,,,,,Total,,,,,,,,,,,,,
Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total
Banane de Mer,276.263599142133,0,0,,,0,,,,,,,276.263599142133,Banane de Mer,0,0,0,0,0,0,,,,,,,0,Banane de Mer,,,,,,,,,,,,,0,Banane de Mer,0,0,0,0,0,0,,,,,,,0,Banane de Mer,,,,,,,,,,,,,,Banane de Mer,,,,,,,,,,,,,,Banane de Mer,,,,,,,,,,,,,,Banane de Mer,276.263599142133,0,0,0,0,0,0,0,0,0,0,0,276.263599142133
Barbillon,359.1426788847729,0,0,,,0,,,,,,,359.1426788847729,Barbillon,133.46967623947194,167.47058375054007,60.72018883917877,64.60760369772157,80.52419296610955,0,,,,,,,0,Barbillon,,,,,,,,,,,,,0,Barbillon,0,0,0,233.82316023526045,0,0,,,,,,,233.82316023526045,Barbillon,,,,,,,,,,,,,,Barbillon,,,,,,,,,,,,,,Barbillon,,,,,,,,,,,,,,Barbillon,492.61235512424486,167.47058375054007,60.72018883917877,298.430763932982,80.52419296610955,0,0,0,0,0,0,0,1099.7580846130552
Bars,5387.140183271593,3880.973476914755,10862.81835084533,,,46791.11111111112,,,,,,,66922.04312214279,Bars,7753.374828820234,5295.419858192077,1940.4060346433216,1398.8058959316224,2154.0221618434302,689.8561486962648,,,,,,,0,Bars,,,,,,,,,,,,,0,Bars,8583.111111111111,472.81278115903683,1087.9999999999998,3086.465715105438,500.14118371193905,1186.2960784905665,,,,,,,14916.826869578092,Bars,,,,,,,,,,,,,,Bars,,,,,,,,,,,,,,Bars,,,,,,,,,,,,,,Bars,21723.626123202936,9649.206116265868,13891.224385488651,4485.27161103706,2654.1633455553692,48667.26333829795,0,0,0,0,0,0,101070.75491984782
Bécune,6809.897718853578,5839.154623321592,5118.0586460713575,,,22058.66666666667,,,,,,,39825.777654913196,Bécune,1854.0151390355736,1366.559963404407,423.72131776905184,91.27105919201937,919.9889046378015,219.23394556025363,,,,,,,0,Bécune,,,,,,,,,,,,,0,Bécune,0,0,1155.9999999999998,3264.1713168842357,12325.701616367565,384.2930958490567,,,,,,,17130.16602910086,Bécune,,,,,,,,,,,,,,Bécune,,,,,,,,,,,,,,Bécune,,,,,,,,,,,,,,Bécune,8663.912857889152,7205.714586725999,6697.779963840409,3355.442376076255,13245.690521005366,22662.19370807598,0,0,0,0,0,0,61830.73401361317
Bossu,497.27447845583936,572.119190365853,1007.1981300577744,,,0,,,,,,,2076.5917988794668,Bossu,812.9516643676927,499.0623395766094,205.920640411128,325.0890535266308,960.2510011208565,175.38715644820292,,,,,,,0,Bossu,,,,,,,,,,,,,0,Bossu,967.1111111111112,3367.349563376555,1087.9999999999998,1543.232857552719,288.97046170023145,0,,,,,,,7254.663993740617,Bossu,,,,,,,,,,,,,,Bossu,,,,,,,,,,,,,,Bossu,,,,,,,,,,,,,,Bossu,2277.3372539346433,4438.531093319018,2301.118770468902,1868.3219110793498,1249.221462821088,175.38715644820292,0,0,0,0,0,0,12309.917648071203
Capitaine,856.4171573406123,1521.719083653506,2096.464255898034,,,43448.8888888889,,,,,,,47923.48938578105,Capitaine,1543.39480160553,1088.5587943785104,600.60186786579,323.03801848860786,229.49394995341223,26.308073467230436,,,,,,,0,Capitaine,,,,,,,,,,,,,0,Capitaine,0,0,0,20576.43810070292,22228.497053863957,1253.129660377359,,,,,,,44058.064814944235,Capitaine,,,,,,,,,,,,,,Capitaine,,,,,,,,,,,,,,Capitaine,,,,,,,,,,,,,,Capitaine,2399.811958946142,2610.2778780320164,2697.066123763824,20899.476119191528,22457.99100381737,44728.32662273349,0,0,0,0,0,0,95792.94970648436
Carangue,0,0,0,,,0,,,,,,,0,Carangue,46.10770633727213,0,0,0,0,0,,,,,,,0,Carangue,,,,,,,,,,,,,0,Carangue,0,0,0,0,0,0,,,,,,,0,Carangue,,,,,,,,,,,,,,Carangue,,,,,,,,,,,,,,Carangue,,,,,,,,,,,,,,Carangue,46.10770633727213,0,0,0,0,0,0,0,0,0,0,0,46.10770633727213
Carpe,0,35.38881589891874,0,,,0,,,,,,,35.38881589891874,Carpe,0,0,64.68020115477738,0,0,0,,,,,,,0,Carpe,,,,,,,,,,,,,0,Carpe,0,0,0,0,0,0,,,,,,,0,Carpe,,,,,,,,,,,,,,Carpe,,,,,,,,,,,,,,Carpe,,,,,,,,,,,,,,Carpe,0,35.38881589891874,64.68020115477738,0,0,0,0,0,0,0,0,0,100.06901705369611
