Unnamed: 0,Unnamed: 1, ,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 62,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118,Unnamed: 119,Unnamed: 120,Unnamed: 121,Unnamed: 122,Unnamed: 123,Unnamed: 125,Unnamed: 126,Unnamed: 127,Unnamed: 128,Unnamed: 129,Unnamed: 130,Unnamed: 131,Unnamed: 132,Unnamed: 133,Unnamed: 134,Unnamed: 135,Unnamed: 136,Unnamed: 137,Unnamed: 138,Unnamed: 140,Unnamed: 141,Unnamed: 142,Unnamed: 143,Unnamed: 144,Unnamed: 145,Unnamed: 146,Unnamed: 147,Unnamed: 148,Unnamed: 149,Unnamed: 150,Unnamed: 151,Unnamed: 152,Unnamed: 153,Unnamed: 155,Unnamed: 156,Unnamed: 157,Unnamed: 158,Unnamed: 159,Unnamed: 160,Unnamed: 161,Unnamed: 162,Unnamed: 163,Unnamed: 164,Unnamed: 165,Unnamed: 166,Unnamed: 167,Unnamed: 168,Unnamed: 172,Unnamed: 173,Unnamed: 174,Unnamed: 175,Unnamed: 176,Unnamed: 177,Unnamed: 178,Unnamed: 179,Unnamed: 180,Unnamed: 181,Unnamed: 182,Unnamed: 183,Unnamed: 184,Unnamed: 185
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Captures (kg),,,,,,,,,,,,,,,Filet maillant de fond,,,,,,,,,,,,,,Filet maillant dérivant,,,,,,,,,,,,,,Filet mulet,,,,,,,,,,,,,,Filet sardine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,kg,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banane de Mer,276.263599142133,0,0,232.74459138228104,0,0,0,0,0,0,0,0,509.00819052441403,,Banane de Mer,276.263599142133,0,0,0,0,Juin,0,0,0,0,0,0,276.263599142133,Banane de Mer,0,0,0,0,0,0,0,0,0,0,0,0,0,Banane de Mer,0,0,0,0,0,0,0,0,0,0,0,0,0,Banane de Mer,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banane de Mer,276.263599142133,0,0,0,0,0,0,0,0,0,0,0,276.263599142133
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbillon,2079.6193224431336,383.9126111106975,242.99378200487803,504.7540938153345,109.23129907585007,33.89966243578974,0,0,0,0,0,0,3354.4107708856836,,Barbillon,359.1426788847729,0,0,0,0,0,0,0,0,0,0,0,359.1426788847729,Barbillon,133.46967623947194,167.47058375054007,60.72018883917877,64.60760369772157,80.52419296610955,0,0,0,0,0,0,0,506.79224549302194,Barbillon,0,0,0,0,0,0,0,0,0,0,0,0,0,Barbillon,0,0,0,233.82316023526045,0,0,0,0,0,0,0,0,233.82316023526045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbillon,492.61235512424486,167.47058375054007,60.72018883917877,298.430763932982,80.52419296610955,0,0,0,0,0,0,0,1099.7580846130552
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bars,87714.79311962772,70558.98708250336,60230.64446602318,51995.461730437055,118714.82792443302,117141.43727839687,367025.56948643754,0,0,0,0,0,873381.7210878588,,Bars,5387.140183271593,3880.973476914755,10862.81835084533,0,0,0,0,0,0,0,0,0,20130.932011031677,Bars,7753.374828820234,5295.419858192077,1940.4060346433216,1398.8058959316224,2154.0221618434302,689.8561486962648,0,0,0,0,0,0,19231.88492812695,Bars,0,0,0,0,0,0,0,0,0,0,0,0,0,Bars,8583.111111111111,472.81278115903683,1087.9999999999998,3086.465715105438,500.14118371193905,1186.2960784905665,0,0,0,0,0,0,14916.826869578092,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bars,21723.626123202936,9649.206116265868,13891.224385488651,4485.27161103706,2654.1633455553692,1876.1522271868312,0,0,0,0,0,0,54279.64380873671
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bécune,21505.265338122037,18682.00993445007,18935.053712948822,14906.724540403542,24134.194169407398,87215.01446806494,70124.19724016152,2544,0,0,0,0,258046.45940355834,,Bécune,6809.897718853578,5839.154623321592,5118.0586460713575,0,0,46791.11111111112,0,0,0,0,0,0,64558.22209935765,Bécune,1854.0151390355736,1366.559963404407,423.72131776905184,91.27105919201937,919.9889046378015,219.23394556025363,0,0,0,0,0,0,4874.790329599106,Bécune,0,0,0,0,0,0,0,0,0,0,0,0,0,Bécune,0,0,1155.9999999999998,3264.1713168842357,12325.701616367565,384.2930958490567,0,0,0,0,0,0,17130.16602910086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bécune,8663.912857889152,7205.714586725999,6697.779963840409,3355.442376076255,13245.690521005366,47394.63815252043,0,0,0,0,0,0,86563.1784580576
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bossu,52169.23742172038,80303.82511071918,208563.5518003494,67176.48436797677,123575.32550179132,121725.04588671665,231766.57013162773,0,0,0,0,0,885280.0402209015,,Bossu,497.27447845583936,572.119190365853,1007.1981300577744,0,0,22058.66666666667,0,0,0,0,0,0,24135.25846554614,Bossu,812.9516643676927,499.0623395766094,205.920640411128,325.0890535266308,960.2510011208565,175.38715644820292,0,0,0,0,0,0,2978.66185545112,Bossu,0,0,0,0,0,0,0,0,0,0,0,0,0,Bossu,967.1111111111112,3367.349563376555,1087.9999999999998,1543.232857552719,288.97046170023145,0,0,0,0,0,0,0,7254.663993740617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bossu,2277.3372539346433,4438.531093319018,2301.118770468902,1868.3219110793498,1249.221462821088,22234.053823114875,0,0,0,0,0,0,34368.58431473788
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitaine,40597.19524740601,45933.10245205378,41429.00254003613,267725.2403723754,183604.96015494684,149956.30383598182,154594.14996683132,0,0,0,0,0,883839.9545696313,,Capitaine,856.4171573406123,1521.719083653506,2096.464255898034,0,0,0,0,0,0,0,0,0,4474.6004968921525,Capitaine,1543.39480160553,1088.5587943785104,600.60186786579,323.03801848860786,229.49394995341223,26.308073467230436,0,0,0,0,0,0,3811.395505759081,Capitaine,0,0,0,0,0,0,0,0,0,0,0,0,0,Capitaine,0,0,0,20576.43810070292,22228.497053863957,1253.129660377359,0,0,0,0,0,0,44058.064814944235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitaine,2399.811958946142,2610.2778780320164,2697.066123763824,20899.476119191528,22457.99100381737,1279.4377338445895,0,0,0,0,0,0,52344.06081759547
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carangue,40922.72681736996,474.496313571827,646.9541788020712,2034.7952812515553,2322.6945680949793,43623.99817967791,0,0,0,0,0,0,90025.6653387683,,Carangue,0,0,0,0,0,43448.8888888889,0,0,0,0,0,0,43448.8888888889,Carangue,46.10770633727213,0,0,0,0,0,0,0,0,0,0,0,46.10770633727213,Carangue,0,0,0,0,0,0,0,0,0,0,0,0,0,Carangue,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carangue,46.10770633727213,0,0,0,0,43448.8888888889,0,0,0,0,0,0,43494.99659522617
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpe,100.95772864173307,291.32393772607526,180.44837418070784,55.86233346206127,7265.429746604757,1458.6963993315867,0,0,0,0,0,0,9352.71851994692,,Carpe,0,35.38881589891874,0,0,0,0,0,0,0,0,0,0,35.38881589891874,Carpe,0,0,64.68020115477738,0,0,0,0,0,0,0,0,0,64.68020115477738,Carpe,0,0,0,0,0,0,0,0,0,0,0,0,0,Carpe,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpe,0,35.38881589891874,64.68020115477738,0,0,0,0,0,0,0,0,0,100.06901705369611
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceinture,0,0,71.28022168077509,6.242703146795162,0,0,0,0,0,0,0,0,77.52292482757025,,Ceinture,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceinture,0,0,71.28022168077509,0,0,0,0,0,0,0,0,0,71.28022168077509,Ceinture,0,0,0,0,0,0,0,0,0,0,0,0,0,Ceinture,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceinture,0,0,71.28022168077509,0,0,0,0,0,0,0,0,0,71.28022168077509
