Aviation,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Aviation.1,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Aviation.2,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Aviation.3,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Aviation.4,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115,Unnamed: 116,Unnamed: 117,Unnamed: 118
Filet maillant de fond,,,,,,,,,,,,,,Filet maillant dérivant,,,,,,,,,,,,,,Filet mulet,,,,,,,,,,,,,,Filet sardine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total,,,,,,,,,,,,,
Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total
Banane de Mer,0,0,0,,,,,,,,,,,Banane de Mer,0,0,0,0,0,,,,,,,,,Banane de Mer,,,,,,,,,,,,,,Banane de Mer,0,0,0,352.63276057619424,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Banane de Mer,0,0,0,352.63276057619424,0,0,0,0,0,0,0,0,352.63276057619424
Barbillon,0,0,0,,,,,,,,,,,Barbillon,13.519361071968865,25.11999201691468,2.0257169538890762,24.425189715709593,0,,,,,,,,,Barbillon,,,,,,,,,,,,,,Barbillon,0,0,13.165550034412076,134.83017316148604,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Barbillon,13.519361071968865,25.11999201691468,15.191266988301152,159.25536287719564,0,0,0,0,0,0,0,0,213.08598295438034
Bars,4625.866617624198,2018.5028595594763,0,,,,,,,,,,,Bars,2337.2178184246864,3567.0388664018847,2122.7262880142084,3378.8179106731604,12020.87628181483,,,,,,,,,Bars,,,,,,,,,,,,,,Bars,1219.089783288594,713.8897020117047,993.9990275981118,2146.9112188021236,985.1288521345772,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bars,8182.1742193374785,6299.431427973065,3116.72531561232,5525.729129475284,13006.005133949408,0,0,0,0,0,0,0,36130.06522634756
Bécune,15063.314126016185,4549.7146834464165,30764.374418899104,,,,,,,,,,,Bécune,104.65850209162103,279.66924445498347,352.47474997669923,545.4959036508476,166.61630394688308,,,,,,,,,Bécune,,,,,,,,,,,,,,Bécune,0,0,296.2248757742717,487.4629337376803,2191.062446988973,181696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bécune,15167.972628107806,4829.3839279014,31413.074044650075,1032.9588373885279,2357.678750935856,181696,0,0,0,0,0,0,236497.06818898366
Bossu,53.75238038250947,1642.0543857514733,3319.8965200250827,,,,,,,,,,,Bossu,209.5500966155174,217.28793094631197,414.37165690108765,189.29522029674933,539.0527480634453,,,,,,,,,Bossu,,,,,,,,,,,,,,Bossu,609.544891644297,2044.3205103062453,1987.9980551962235,1203.1000066717218,441.60948543963804,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bossu,872.8473686423238,3903.6628270040305,5722.266232122394,1392.395226968471,980.6622335030834,0,0,0,0,0,0,0,12871.833888240304
Capitaine,663.9999929604112,581.9939595068512,0,,,,,,,,,,,Capitaine,178.3157106906238,452.15985630446426,731.9590593385861,643.196662513686,558.6546661748432,,,,,,,,,Capitaine,,,,,,,,,,,,,,Capitaine,1662.395159029901,0,348.88707591192,0,237.78972292903586,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Capitaine,2504.710862680936,1034.1538158113153,1080.8461352505062,643.196662513686,796.4443891038791,0,0,0,0,0,0,0,6059.351865360322
Carangue,0,0,0,,,,,,,,,,,Carangue,2.5640167550285775,0,0,0,0,,,,,,,,,Carangue,,,,,,,,,,,,,,Carangue,0,0,0,414.8620712661109,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carangue,2.5640167550285775,0,0,414.8620712661109,0,0,0,0,0,0,0,0,417.4260880211395
Carpe,0,0,0,,,,,,,,,,,Carpe,9.78988215556366,0,2.2507966154323067,0,0,,,,,,,,,Carpe,,,,,,,,,,,,,,Carpe,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carpe,9.78988215556366,0,2.2507966154323067,0,0,0,0,0,0,0,0,0,12.040678770995967
Ceinture,79.04761820957276,0,0,,,,,,,,,,,Ceinture,13.985545936519514,28.050657752221394,0,0,0,,,,,,,,,Ceinture,,,,,,,,,,,,,,Ceinture,277.06585983831684,194.69719145773763,23.039712560221133,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ceinture,370.0990239844091,222.747849209959,23.039712560221133,0,0,0,0,0,0,0,0,0,615.8865857545892
Crabe,0,0,0,,,,,,,,,,,Crabe,0,0,0,0,0,,,,,,,,,Crabe,,,,,,,,,,,,,,Crabe,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crabe,0,0,0,0,0,0,0,0,0,0,0,0,0
Crevette,0,0,0,,,,,,,,,,,Crevette,0,0,0,0,0,,,,,,,,,Crevette,,,,,,,,,,,,,,Crevette,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Crevette,0,0,0,0,0,0,0,0,0,0,0,0,0
Disque,0,0,0,,,,,,,,,,,Disque,0.6992772968259757,0,6.077150861667229,10.177162381545664,0,,,,,,,,,Disque,,,,,,,,,,,,,,Disque,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Disque,0.6992772968259757,0,6.077150861667229,10.177162381545664,0,0,0,0,0,0,0,0,16.953590540038867
Divers,0,0,0,,,,,,,,,,,Divers,14.451730801070164,60.28798084059523,13.27970003105061,71.24013667081964,0,,,,,,,,,Divers,,,,,,,,,,,,,,Divers,0,0,0,3018.121568460957,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Divers,14.451730801070164,60.28798084059523,13.27970003105061,3089.3617051317765,0,0,0,0,0,0,0,0,3177.3811168044926
Dorade Grise,0,0,0,,,,,,,,,,,Dorade Grise,28.43727673758968,30.981323487528105,42.76513569321383,0,0,,,,,,,,,Dorade Grise,,,,,,,,,,,,,,Dorade Grise,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorade Grise,28.43727673758968,30.981323487528105,42.76513569321383,0,0,0,0,0,0,0,0,0,102.18373591833162
Dorade Rose,0,0,0,,,,,,,,,,,Dorade Rose,19.346671878851996,0,6.302230523210459,0,0,,,,,,,,,Dorade Rose,,,,,,,,,,,,,,Dorade Rose,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dorade Rose,19.346671878851996,0,6.302230523210459,0,0,0,0,0,0,0,0,0,25.648902402062454
Langouste,0,0,0,,,,,,,,,,,Langouste,0,0,0,0,0,,,,,,,,,Langouste,,,,,,,,,,,,,,Langouste,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Langouste,0,0,0,0,0,0,0,0,0,0,0,0,0
Machoiron de mer,0,129.3319910015225,0,,,,,,,,,,,Machoiron de mer,30.302016195792284,65.31197924397817,7.652708492469842,0,0,,,,,,,,,Machoiron de mer,,,,,,,,,,,,,,Machoiron de mer,0,0,0,0,169.84980209216846,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Machoiron de mer,30.302016195792284,194.64397024550067,7.652708492469842,0,169.84980209216846,0,0,0,0,0,0,0,402.44849702593126
Maquéreau,7866.818964216681,2778.328306693421,25762.396995394643,,,,,,,,,,,Maquéreau,10.489159452389636,26.375991617760416,14.180018677223533,154.6928681994941,0,,,,,,,,,Maquéreau,,,,,,,,,,,,,,Maquéreau,0,0,0,518.5775890826386,2157.092486570539,108799.99999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maquéreau,7877.3081236690705,2804.7042983111814,25776.577014071867,673.2704572821327,2157.092486570539,108799.99999999999,0,0,0,0,0,0,148088.95237990477
Merou,15.809523641914552,0,0,,,,,,,,,,,Merou,0,0,0,0,0,,,,,,,,,Merou,,,,,,,,,,,,,,Merou,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Merou,15.809523641914552,0,0,0,0,0,0,0,0,0,0,0,15.809523641914552
Mulet,0,0,0,,,,,,,,,,,Mulet,0,1.255999600845734,0,0,0,,,,,,,,,Mulet,,,,,,,,,,,,,,Mulet,0,1249.3069785204834,1428.46217873371,5984.38537801365,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mulet,0,1250.5629781213293,1428.46217873371,5984.38537801365,0,0,0,0,0,0,0,0,8663.41053486869
Raie,0,0,0,,,,,,,,,,,Raie,0,0,0,0,0,,,,,,,,,Raie,,,,,,,,,,,,,,Raie,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raie,0,0,0,0,0,0,0,0,0,0,0,0,0
Requin,0,0,0,,,,,,,,,,,Requin,0,0,0,0,0,,,,,,,,,Requin,,,,,,,,,,,,,,Requin,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Requin,0,0,0,0,0,0,0,0,0,0,0,0,0
Rouge,0,0,0,,,,,,,,,,,Rouge,3.4963864841298786,0,0,0,0,,,,,,,,,Rouge,,,,,,,,,,,,,,Rouge,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rouge,3.4963864841298786,0,0,0,0,0,0,0,0,0,0,0,3.4963864841298786
Sardine,0,53598.87227077383,0,,,,,,,,,,,Sardine,820.4853616091448,334.93322689219576,39.38894077006537,0,0,,,,,,,,,Sardine,,,,,,,,,,,,,,Sardine,144212.7800458439,88262.7267941744,69922.23623276253,54139.50030022747,134860.74286118176,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sardine,145033.26540745303,142196.5322918404,69961.6251735326,54139.50030022747,134860.74286118176,0,0,0,0,0,0,0,546191.6660342353
Sole,0,0,0,,,,,,,,,,,Sole,16.316470259272766,16.746661344609787,0,0,0,,,,,,,,,Sole,,,,,,,,,,,,,,Sole,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sole,16.316470259272766,16.746661344609787,0,0,0,0,0,0,0,0,0,0,33.06313160388255
Thon,15882.247450667357,1951.527364219402,21535.06209322937,,,,,,,,,,,Thon,14.451730801070164,76.61597565158978,9.003186461729227,276.81881677804205,0,,,,,,,,,Thon,,,,,,,,,,,,,,Thon,0,0,0,0,1358.7984167373477,110976,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Thon,15896.699181468428,2028.1433398709917,21544.0652796911,276.81881677804205,1358.7984167373477,110976,0,0,0,0,0,0,152080.52503454592
Turbo,110.66666549340187,0,0,,,,,,,,,,,Turbo,2.3309243227532526,2.0933326680762234,0,30.53148714463699,0,,,,,,,,,Turbo,,,,,,,,,,,,,,Turbo,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turbo,112.99758981615511,2.0933326680762234,0,30.53148714463699,0,0,0,0,0,0,0,0,145.62240962886833
,0,0,0,,,,,,,,,,,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
Efforts (jr),957.0909090909091,739.9680000000001,779.3454545454545,,,,,,,,,,,Efforts (jr),59.022222222222226,70.2974828375286,76.73469387755101,39.99999999999999,77.99999999999999,,,,,,,,,Efforts (jr),,,,,,,,,,,,,,Efforts (jr),272.00000000000006,151.99999999999997,210.34666666666666,124.03200000000007,234.2222222222222,408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Efforts (jr),1288.1131313131314,962.2654828375287,1066.4268150896721,164.03200000000007,312.2222222222222,408,0,0,0,0,0,0,4201.059651462554
Captures (kg),44361.52333921223,67250.32582095239,81381.7300275482,,,,,,,,,,,Captures (kg),3830.4079395804197,5183.92901922396,3764.457339310533,5324.691358024691,13285.2,,,,,,,,,Captures (kg),,,,,,,,,,,,,,Captures (kg),147980.875739645,92464.94117647057,75014.0127085714,68400.38400000003,142402.07407407404,401472,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Captures (kg),196172.80701843766,164899.19601664692,160160.20007543016,73725.07535802473,155687.27407407406,401472,0,0,0,0,0,0,1152116.5525426136
CPUE (kg/jr),44.243540564373895,93.15481746031747,49.6010101010101,,,,,,,,,,,CPUE (kg/jr),33.25006891996892,34.199531724046956,27.449168099139303,33.27932098765432,46.12916666666667,,,,,,,,,CPUE (kg/jr),,,,,,,,,,,,,,CPUE (kg/jr),196.46153846153845,160.52941176470588,191.51861904761898,174.63333333333333,261.76851851851853,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CPUE (kg/jr),91.3183826486271,95.9612536496901,89.5229324159228,103.95632716049383,153.9488425925926,123,0,0,0,0,0,0,54.808978205610536
Nbre débarq.,84,164,19,,,,,,,,,,,Nbre débarq.,166,128,188,30,13,,,,,,,,,Nbre débarq.,,,,,,,,,,,,,,Nbre débarq.,26,38,116,38,31,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nbre débarq.,276,330,323,68,44,3,0,0,0,0,0,0,1044
Taux échant.,0.11170212765957446,0.21808510638297873,0.02526595744680851,,,,,,,,,,,Taux échant.,1.3833333333333333,1.0666666666666667,1.5666666666666667,0.25,0.10833333333333334,,,,,,,,,Taux échant.,,,,,,,,,,,,,,Taux échant.,0.06372549019607843,0.09313725490196079,0.28431372549019607,0.09313725490196079,0.07598039215686274,0.007352941176470588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Taux échant.,0.519586983729662,0.45929634265053537,0.6254154498678904,0.1715686274509804,0.09215686274509804,0.007352941176470588,0,0,0,0,0,0,0.15628143396838642
Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,,Libreville,,,,,,,,,,,,,
Filet maillant de fond,,,,,,,,,,,,,,Filet maillant dérivant,,,,,,,,,,,,,,Filet mulet,,,,,,,,,,,,,,Filet sardine,,,,,,,,,,,,,,Ligne à main,,,,,,,,,,,,,,Ligne de fond,,,,,,,,,,,,,,Senne Tournante,,,,,,,,,,,,,,Total,,,,,,,,,,,,,
Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Mai,Juin,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total,Espèces,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Août,Septembre,Octobre,Novembre,Décembre,Total
